trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.02389413147299,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-101.09911765732156,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-76.66244638702179,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-67.5984954380106,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-53.63593355725731,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,1,-77.99136429440543,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-171.18766865400664,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-136.62936799766524,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-98.97087151353901,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-127.40490182319091,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-68.63442222282148,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-157.6271380151531,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-51.90067954656999,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,15,-4.4297581987668035,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-0.9656956569111275,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,11.935038910307037,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,22,-19.54353066412063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,30.414371301000994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,11.975370294452198,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,-64.94672677328249,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,21.643828374403707,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,6,36.33158242468792,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,22.811535238777452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-32.59894037636613,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,14,12.786063815661079,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,20.64298899527605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,17.23004996890714,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,2.8071438488363305,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,3,41.71153754575307,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,21.81450353535979,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,25.13906846289868,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,14,20.642662819414877,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,21,14.092461099838927,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,11,10.654868850593738,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,-0.9379578763988317,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",25,2,28.69068746038333,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,1,14.835062030924547,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,0,-56.68711223965855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",20,1,29.988755206540922,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,5,25.493137229768788,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,10,10.3187742262521,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",30,14,23.939402421333625,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,15,10.760869318538878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,2,3.551494021217189,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,0,23.664502167299737,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
