trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.30335788460226,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999000033332889}",30,0,-209.85153011078748,"{0: 13, 1: 4, 2: 8, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999600053330489}",25,0,-176.81371643220658,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9991002699676022}",25,0,-115.52463696574678,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9984008531513098}",35,0,-216.05704294228988,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9975020826390129}",20,0,-102.92004823124745,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9964043179269331}",25,0,-111.68337607743958,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9951079981063186}",20,0,-117.90320906246068,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9936136416878134}",20,0,-71.22075551065554,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9919218463940607}",20,0,-121.48140891022985,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9900332889206208}",25,0,-86.0086754038345,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9879487246653027}",20,0,-33.92476469434243,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9856689874260148}",20,0,-62.533659420957065,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9831949890672567}",25,13,-23.482806740591826,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9805277191553854}",25,0,-178.22189896434506,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.977668244562803}",25,0,-92.42803002381022,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9746177090412205}",25,0,-87.20898146246398,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.971377332764173}",20,11,-30.27175593414443,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9679484118389674}",20,0,-110.02046572617974,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9643323177882551}",20,0,-55.9321313056395,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9605304970014426}",20,0,-114.54658670846123,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9565444701561541}",20,0,-176.70244389011742,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9523758316099817}",20,12,-4.95977349719179,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.9480262487627626}",30,0,-209.47009682467828,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9434974613896421}",25,0,-174.53966802368697,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9387912809451864}",20,0,-65.40056275085993,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.933909589838825}",25,11,-50.22696648735428,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9288543406819121}",20,0,-118.3809991548362,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.923627555506708}",20,0,-135.56036674317866,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9182313249575935}",30,0,-128.0742758156012,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9126678074548391}",25,0,-199.01764175888002,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.906939228331267}",25,0,-117.79389802865944,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9010478789421463}",25,14,-18.03540628890424,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8949961157486825}",20,0,-111.7471275861155,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8887863593754639}",20,0,-40.97494540733089,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8824210936422442}",30,0,-165.28269808186255,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8759028645704475}",30,5,-3.295446273375055,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.869234279364794}",25,0,-166.53872957382,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.8624180053704527}",25,12,-47.93756341886299,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.8554567690061387}",20,4,-85.10822445249144,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.8483533546735827}",20,0,-71.8577059896738,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8411106036438067}",20,0,-64.2885703684325,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8337314129206541}",25,0,-66.53702022630239,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.826218734082026}",25,0,-185.777790667403,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.8185755720992901}",30,14,-52.058771614786416,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.8108049841353322}",20,16,5.546219323055099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.8029100783217314}",20,1,-55.94939037134308,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7948940125155491}",30,8,-89.01515086428876,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.7867599930362283}",20,0,-162.61528168395958,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7785112733831087}",20,0,-32.38168331363142,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7701511529340699}",20,12,2.9092460774759292,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7616829756258248}",20,0,-35.07486492353631,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7531101286163893}",35,0,-116.68872648472063,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0
