trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.86047491330785,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9975020826390129}",20,0,-91.78216683584716,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9900332889206208}",20,0,-94.34698072792106,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.977668244562803}",20,0,-89.47848735049777,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9605304970014426}",20,0,-90.62833124455145,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9387912809451864}",25,14,-98.47068934408315,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9126678074548391}",20,0,-47.490742208729785,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8824210936422442}",25,0,-62.42327508365153,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8483533546735827}",25,0,-142.6629189436913,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8108049841353322}",20,0,-126.20434688829457,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7701511529340699}",20,0,-166.00488572908415,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.7267980607127886}",30,0,-80.96793579111588,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6811788772383367}",25,0,-116.88970528396513,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.6337494143122937}",25,0,-127.55127826041115,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5849835714501204}",20,0,-196.86419960414383,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.5353686008338514}",25,0,-78.56798577150529,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.48540023884935557}",25,0,-190.43216535310933,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.43557775285223754}",20,0,-59.880539833283585,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.3863989526534565}",20,0,-108.09388717504501,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.3383552165682482}",25,0,-183.68446823691724,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-64.09164735576789,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-204.08926433355032,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",35,0,-154.89289595395158,"{0: 18, 1: 6, 2: 9, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-115.15609782839749,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-123.5304061178583,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-149.2041646256382,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-200.9215237957043,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-116.10306459662745,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-101.75605405143301,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,0,-136.1837018301551,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,True,"{'a': 0, 'e': 0}",20,0,-109.1648563932661,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-95.83901305103676,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",30,0,-88.87496684355082,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,0,-121.59975182577699,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",25,0,-137.15631388167387,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",25,0,-198.84997219646553,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
17,True,"{'a': 0, 'e': 0}",30,0,-135.85592085091832,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",35,0,-166.52126714668015,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",25,0,-139.75271665552407,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",30,0,-132.09639342648927,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
21,True,"{'a': 0, 'e': 0}",25,0,-176.27516262877378,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
22,True,"{'a': 0, 'e': 0}",20,0,-119.50106265328273,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
23,True,"{'a': 0, 'e': 0}",25,0,-187.05848627553272,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
24,True,"{'a': 0, 'e': 0}",25,7,-139.6913642420582,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 2}",1
